Region,Country,City,YearMonth,MonthlyAvgTemp
Africa,Ivory Coast,Abidjan,2013-05,81.97
Africa,Ivory Coast,Abidjan,2013-06,79.54
Africa,Ivory Coast,Abidjan,2013-07,76.86
Africa,Ivory Coast,Abidjan,2013-08,75.77
Africa,Ivory Coast,Abidjan,2013-09,77.19
Africa,Ivory Coast,Abidjan,2013-10,79.23
Africa,Ivory Coast,Abidjan,2013-11,81.07
Africa,Ivory Coast,Abidjan,2013-12,80.86
Africa,Ivory Coast,Abidjan,2014-01,81.87
Africa,Ivory Coast,Abidjan,2014-02,81.67
Africa,Ivory Coast,Abidjan,2014-03,82.34
Africa,Ivory Coast,Abidjan,2014-04,82.88
Africa,Ivory Coast,Abidjan,2014-05,81.85
Africa,Ivory Coast,Abidjan,2014-06,79.69
Africa,Ivory Coast,Abidjan,2014-07,77.98
Africa,Ivory Coast,Abidjan,2014-08,76.39
Africa,Ivory Coast,Abidjan,2014-09,77.23
Africa,Ivory Coast,Abidjan,2014-10,79.39
Africa,Ivory Coast,Abidjan,2014-11,81.16
Africa,Ivory Coast,Abidjan,2014-12,81.36
Africa,Ivory Coast,Abidjan,2015-01,80.82
Africa,Ivory Coast,Abidjan,2015-02,82.74
Africa,Ivory Coast,Abidjan,2015-03,82.8
Africa,Ivory Coast,Abidjan,2015-04,83.8
Africa,Ivory Coast,Abidjan,2015-05,82.71
Africa,Ivory Coast,Abidjan,2015-06,79.38
Africa,Ivory Coast,Abidjan,2015-07,77.93
Africa,Ivory Coast,Abidjan,2015-08,76.63
Africa,Ivory Coast,Abidjan,2015-09,77.38
Africa,Ivory Coast,Abidjan,2015-10,80.45
Africa,Ivory Coast,Abidjan,2015-11,81.55
Africa,Ivory Coast,Abidjan,2015-12,81.48
Africa,Ivory Coast,Abidjan,2016-01,81.6
Africa,Ivory Coast,Abidjan,2016-02,83.55
Africa,Ivory Coast,Abidjan,2016-03,83.34
Africa,Ivory Coast,Abidjan,2016-04,84.58
Africa,Ivory Coast,Abidjan,2016-05,82.73
